ticker,source,text,published_at,trading_day
HAL,gdelt,Seven of the most prolific Texas shale drillers cut . 6 billion from budgets as oil prices collapse,20200318T010000Z,2020-03-18
HAL,gdelt,Seven of the most prolific Texas shale drillers cut . 6 billion from budgets as oil prices collapse,20200318T170000Z,2020-03-19
COP,gdelt,"Feb 18 , 2020 - CastleArk Alternatives , LLC Buys Schlumberger , Pioneer Natural Resources Co , ConocoPhillips , Sells PBF Energy Inc , BP PLC , Marathon Oil Corp",20200218T153000Z,2020-02-18
PXD,gdelt,"Feb 18 , 2020 - CastleArk Alternatives , LLC Buys Schlumberger , Pioneer Natural Resources Co , ConocoPhillips , Sells PBF Energy Inc , BP PLC , Marathon Oil Corp",20200218T153000Z,2020-02-18
SLB,gdelt,"Feb 18 , 2020 - CastleArk Alternatives , LLC Buys Schlumberger , Pioneer Natural Resources Co , ConocoPhillips , Sells PBF Energy Inc , BP PLC , Marathon Oil Corp",20200218T153000Z,2020-02-18
HAL,gdelt,"Global Shale Oil Market Report with Study of North America , Europe and Asia - Pacific , South America , Middle East and Africa Regions",20200103T040000Z,2020-01-03
CVX,gdelt,Chevron Gets Another Reprieve to Continue Working in Venezuela,20200118T154500Z,2020-01-18
CVX,gdelt,Chevron Gets Another Reprieve to Continue Working in Venezuela,20200120T091500Z,2020-01-20
CVX,gdelt,Chevron gets another extension to continue Venezuela operations,20200119T154500Z,2020-01-19
CVX,gdelt,"Chevron Double - Upgraded , EOG , Noble and Devon Lifted at Bank of America",20200323T173000Z,2020-03-24
EOG,gdelt,"Chevron Double - Upgraded , EOG , Noble and Devon Lifted at Bank of America",20200323T173000Z,2020-03-24
DVN,gdelt,"Chevron Double - Upgraded , EOG , Noble and Devon Lifted at Bank of America",20200323T173000Z,2020-03-24
CVX,gdelt,UPDATE 5 - Chevron leads another wave of massive oil - industry spending cuts - Agricultural Commodities,20200324T180000Z,2020-03-25
HAL,gdelt,U . S . shale executive warns global oil glut will not soon clear,20200324T203000Z,2020-03-25
HAL,gdelt,Oil price war sends US shale producers into survival mode,20200310T203000Z,2020-03-11
COP,gdelt,Cenovus Energy How to cope with oil - producers ready more cuts,20200310T201500Z,2020-03-11
CVX,gdelt,"Oil Shale Market Companies Have Room for Growth Chevron Corporation , Cabot Oil Gas , EOG Resources",20200130T113000Z,2020-01-30
HAL,gdelt,"Oil Shale Market Companies Have Room for Growth Chevron Corporation , Cabot Oil Gas , EOG Resources",20200130T113000Z,2020-01-30
EOG,gdelt,"Oil Shale Market Companies Have Room for Growth Chevron Corporation , Cabot Oil Gas , EOG Resources",20200130T113000Z,2020-01-30
HAL,gdelt,Few U . S . shale firms can withstand prolonged oil price war News,20200316T071500Z,2020-03-16
XOM,gdelt,"7 Energy Stocks That Are Too Cheap to Ignore BP , XOM , CVX",20200312T003000Z,2020-03-12
CVX,gdelt,"7 Energy Stocks That Are Too Cheap to Ignore BP , XOM , CVX",20200312T003000Z,2020-03-12
COP,gdelt,How to cope with oil Producers prepare for more spending cuts,20200311T054500Z,2020-03-11
CVX,gdelt,Chevron leads another wave of massive oil - industry spending cuts,20200324T203000Z,2020-03-25
COP,gdelt,How to cope with oil producers ready more cuts,20200310T170000Z,2020-03-11
HAL,gdelt,UPDATE 1 - U . S . shale executive warns global oil glut will not soon clear,20200324T194500Z,2020-03-25
COP,gdelt,WRAPUP 4 - N . American oil companies slash spending to cope with bbl crude - Agricultural Commodities,20200310T184500Z,2020-03-11
HAL,gdelt,Oil boom feels more like a bust in Texas shale patch,20200213T191500Z,2020-02-14
HAL,gdelt,America oil boom feels more like a bust for shale producers,20200219T211500Z,2020-02-20
XOM,gdelt,Where Will ExxonMobil Be in 5 Years ?,20200105T003000Z,2020-01-05
CVX,gdelt,"Be It Via Shareholder Revolt Or A Chevron 2 - For - 1 Bid , Vicki Hollub Occidental Tenure Is Nearing Its End",20200316T223000Z,2020-03-17
OXY,gdelt,"Be It Via Shareholder Revolt Or A Chevron 2 - For - 1 Bid , Vicki Hollub Occidental Tenure Is Nearing Its End",20200316T223000Z,2020-03-17
XOM,gdelt,"Exxon and Chevron are dividend aristocrat , but for how long ?",20200317T183000Z,2020-03-18
CVX,gdelt,"Exxon and Chevron are dividend aristocrat , but for how long ?",20200317T183000Z,2020-03-18
DVN,gdelt,"Energy Stock Earnings Slated for Feb 18 CXO , FANG DVN",20200217T191500Z,2020-02-18
COP,gdelt,Better Buy ConocoPhillips vs . EOG Resources,20200226T131500Z,2020-02-26
EOG,gdelt,Better Buy ConocoPhillips vs . EOG Resources,20200226T131500Z,2020-02-26
HAL,gdelt,U . S . shale executive warns global oil glut will not soon clear Hellenic Shipping News Worldwide,20200326T014500Z,2020-03-26
HAL,gdelt,US Shale Executive Warns Global Oil Glut Will Not Clear Soon,20200325T123000Z,2020-03-25
COP,gdelt,ConocoPhillips Slashes 2020 Capex as Oil Price Remains Soft,20200319T181500Z,2020-03-20
HAL,gdelt,"Halliburton Furloughs 3 , 500 Workers at Texas Headquarters",20200318T201500Z,2020-03-19
